No.,bedroom_num,total_bedroom_area(m2),study_area(m2),indoor_garden_area(m2),kitchen_area(m2),bathroom_area(m2),balcony_area(m2),floorplan_total_are(m2)
1,3,34.84 ,0.00 ,0.00 ,6.54 ,8.12 ,5.27 ,95.29 
2,3,26.85 ,0.00 ,0.00 ,4.55 ,6.34 ,5.70 ,84.37 
3,2,14.34 ,7.76 ,0.00 ,5.06 ,7.48 ,11.81 ,85.55 
4,3,36.56 ,0.00 ,0.00 ,7.16 ,7.18 ,14.37 ,117.64 
5,3,32.42 ,0.00 ,0.00 ,6.32 ,4.96 ,4.34 ,92.48 
6,4,36.88 ,4.64 ,0.00 ,6.17 ,7.20 ,9.81 ,108.09 
7,3,32.47 ,0.00 ,0.00 ,5.55 ,6.91 ,7.26 ,89.25 
8,4,45.75 ,0.00 ,0.00 ,6.27 ,9.19 ,7.04 ,112.38 
9,2,17.82 ,0.00 ,0.00 ,4.73 ,2.37 ,9.26 ,68.05 
10,2,23.02 ,0.00 ,0.00 ,4.89 ,2.55 ,6.16 ,65.00 
11,4,38.05 ,0.00 ,0.00 ,6.22 ,6.48 ,6.83 ,97.54 
12,3,25.70 ,0.00 ,0.00 ,4.40 ,3.96 ,4.40 ,75.99 
13,3,48.01 ,0.00 ,0.00 ,16.68 ,4.45 ,21.35 ,156.81 
14,2,23.50 ,0.00 ,0.00 ,4.07 ,2.03 ,6.13 ,73.77 
15,3,31.07 ,0.00 ,0.00 ,6.32 ,7.39 ,6.62 ,91.18 
16,3,28.38 ,0.00 ,0.00 ,5.77 ,5.15 ,12.30 ,91.42 
17,3,34.18 ,0.00 ,0.00 ,4.13 ,6.21 ,8.06 ,88.71 
18,3,32.15 ,0.00 ,0.00 ,5.85 ,6.57 ,7.03 ,91.44 
19,3,32.70 ,0.00 ,0.00 ,5.78 ,8.46 ,8.42 ,97.69 
20,3,36.96 ,0.00 ,0.00 ,6.94 ,10.63 ,8.75 ,105.43 
21,4,52.74 ,0.00 ,0.00 ,7.76 ,2.55 ,8.73 ,121.71 
22,3,32.51 ,0.00 ,6.50 ,5.75 ,7.25 ,11.45 ,110.49 
23,2,19.68 ,0.00 ,0.00 ,5.02 ,2.97 ,7.64 ,67.99 
24,3,34.65 ,0.00 ,11.19 ,4.59 ,3.93 ,7.52 ,96.75 
25,3,26.23 ,0.00 ,0.00 ,5.42 ,3.36 ,5.85 ,80.83 
26,2,20.53 ,0.00 ,0.00 ,3.98 ,3.59 ,8.34 ,69.21 
27,4,41.31 ,8.96 ,0.00 ,8.06 ,10.86 ,9.88 ,123.44 
28,3,30.75 ,0.00 ,0.00 ,5.42 ,7.56 ,7.61 ,87.44 
29,3,33.01 ,0.00 ,0.00 ,5.47 ,7.41 ,6.90 ,95.71 
30,3,25.24 ,4.91 ,0.00 ,5.15 ,3.48 ,4.21 ,81.75 
31,3,25.12 ,6.13 ,0.00 ,6.05 ,6.54 ,3.99 ,89.54 
32,4,45.60 ,0.00 ,0.00 ,8.91 ,9.26 ,13.62 ,129.30 
33,3,33.98 ,0.00 ,0.00 ,7.01 ,3.44 ,4.02 ,87.74 
34,3,35.85 ,0.00 ,0.00 ,7.21 ,6.71 ,7.44 ,104.16 
35,3,38.85 ,0.00 ,0.00 ,6.43 ,9.13 ,8.28 ,106.65 
36,4,37.43 ,9.47 ,0.00 ,6.11 ,8.87 ,13.29 ,129.98 
37,4,42.32 ,10.18 ,0.00 ,7.20 ,11.90 ,14.39 ,137.65 
38,3,42.84 ,0.00 ,0.00 ,6.25 ,7.44 ,14.38 ,132.94 
39,3,28.85 ,0.00 ,0.00 ,6.12 ,5.99 ,6.27 ,84.05 
